id_zone,id_quartier,nom_quartier,piece,epoque,meuble_txt,ref,max,min,annee,ville,code_grand_quartier,lat,lon
12,56,Plaisance,1,Avant 1946,meublé,33.8,40.56,23.66,2020,PARIS,7511456,48.8303170426,2.31530493157
5,37,Saint-Vincent-de-Paul,2,Avant 1946,meublé,27.9,33.48,19.53,2020,PARIS,7511037,48.8807352373,2.35747081045
10,55,Petit-Montrouge,4,Apres 1990,non meublé,23.5,28.2,16.45,2020,PARIS,7511455,48.8266526255,2.32643699922
3,32,Europe,2,1971-1990,meublé,30.4,36.48,21.28,2020,PARIS,7510832,48.8781476759,2.3171746113
14,45,Bel-Air,3,1946-1970,meublé,21.4,25.68,14.98,2020,PARIS,7511245,48.8379956461,2.43317844196
2,3,Palais-Royal,4,Apres 1990,meublé,29.6,35.52,20.72,2020,PARIS,7510103,48.8646599781,2.33630891897
5,53,Montparnasse,4,Avant 1946,non meublé,20.1,24.12,14.07,2020,PARIS,7511453,48.837623096,2.33178382289
2,22,Odeon,3,Avant 1946,non meublé,27.2,32.64,19.04,2020,PARIS,7510622,48.8478006293,2.33633882759
7,61,Auteuil,3,1971-1990,non meublé,21.8,26.16,15.26,2020,PARIS,7511661,48.8506223427,2.25227690754
3,64,Chaillot,4,1971-1990,meublé,28.1,33.72,19.67,2020,PARIS,7511664,48.8684336145,2.29167904274
11,40,Hôpital-Saint-Louis,3,1971-1990,meublé,22.3,26.76,15.61,2020,PARIS,7511040,48.87600829,2.36812301789
5,38,Porte-Saint-Denis,4,1971-1990,meublé,24.5,29.4,17.15,2020,PARIS,7511038,48.873617661,2.35228289495
2,31,Madeleine,1,Apres 1990,non meublé,32.1,38.52,22.47,2020,PARIS,7510831,48.871265493,2.32005302865
2,4,Place-Vendôme,4,Apres 1990,non meublé,26.2,31.44,18.34,2020,PARIS,7510104,48.8670185906,2.32858166493
6,66,Plaine de Monceaux,2,Apres 1990,meublé,27.1,32.52,18.97,2020,PARIS,7511766,48.8850436914,2.30290982465
4,20,Sorbonne,4,Avant 1946,meublé,28.4,34.08,19.88,2020,PARIS,7510520,48.8490447659,2.34574660019
13,73,Villette,2,Avant 1946,meublé,25.0,30.0,17.5,2020,PARIS,7511973,48.8876610888,2.37446821213
4,19,Val-de-Grace,4,Avant 1946,non meublé,25.1,30.12,17.57,2020,PARIS,7510519,48.841684288,2.34386092632
2,16,Notre-Dame,4,1971-1990,meublé,25.1,30.12,17.57,2020,PARIS,7510416,48.8528955862,2.35277501212
12,56,Plaisance,4,Apres 1990,non meublé,23.4,28.08,16.38,2020,PARIS,7511456,48.8303170426,2.31530493157
2,29,Champs-Elysées,3,1946-1970,non meublé,21.7,26.04,15.19,2020,PARIS,7510829,48.8670744922,2.30865168468
7,59,Grenelle,4,1971-1990,non meublé,21.4,25.68,14.98,2020,PARIS,7511559,48.8501716555,2.2918526427
7,59,Grenelle,3,Apres 1990,meublé,27.8,33.36,19.46,2020,PARIS,7511559,48.8501716555,2.2918526427
2,5,Gaillon,2,Apres 1990,non meublé,26.7,32.04,18.69,2020,PARIS,7510205,48.8693066381,2.33343180766
6,65,Ternes,2,1971-1990,meublé,28.1,33.72,19.67,2020,PARIS,7511765,48.8811775503,2.28996373812
2,1,St-Germain-l'Auxerrois,2,Apres 1990,meublé,30.2,36.24,21.14,2020,PARIS,7510101,48.8606501352,2.33491032928
5,38,Porte-Saint-Denis,4,Avant 1946,non meublé,20.1,24.12,14.07,2020,PARIS,7511038,48.873617661,2.35228289495
5,38,Porte-Saint-Denis,1,Avant 1946,meublé,32.9,39.48,23.03,2020,PARIS,7511038,48.873617661,2.35228289495
5,2,Halles,4,Apres 1990,non meublé,20.4,24.48,14.28,2020,PARIS,7510102,48.8622891081,2.34489885831
14,45,Bel-Air,3,Apres 1990,meublé,25.2,30.24,17.64,2020,PARIS,7511245,48.8379956461,2.43317844196
14,79,Père-Lachaise,1,Avant 1946,non meublé,25.2,30.24,17.64,2020,PARIS,7512079,48.863719484,2.39527282076
5,2,Halles,4,1946-1970,meublé,24.3,29.16,17.01,2020,PARIS,7510102,48.8622891081,2.34489885831
2,30,Faubourg-du-Roule,2,Apres 1990,meublé,30.2,36.24,21.14,2020,PARIS,7510830,48.8741355756,2.30411880972
9,69,Grandes-Carrières,1,Avant 1946,non meublé,26.7,32.04,18.69,2020,PARIS,7511869,48.8925777711,2.33436308991
1,23,Notre-Dame-des-Champs,1,1946-1970,meublé,35.3,42.36,24.71,2020,PARIS,7510623,48.846427594,2.32735687823
11,71,Goutte-d'Or,4,Avant 1946,meublé,24.2,29.04,16.94,2020,PARIS,7511871,48.8921381876,2.3555361633
2,15,Arsenal,1,1946-1970,non meublé,31.9,38.28,22.33,2020,PARIS,7510415,48.851585175,2.36476795387
2,31,Madeleine,1,Avant 1946,non meublé,32.7,39.24,22.89,2020,PARIS,7510831,48.871265493,2.32005302865
2,31,Madeleine,3,Avant 1946,non meublé,27.2,32.64,19.04,2020,PARIS,7510831,48.871265493,2.32005302865
11,71,Goutte-d'Or,1,1971-1990,non meublé,25.4,30.48,17.78,2020,PARIS,7511871,48.8921381876,2.3555361633
11,39,Porte-Saint-Martin,2,1946-1970,non meublé,22.1,26.52,15.47,2020,PARIS,7511039,48.8712446509,2.36150364735
13,80,Charonne,2,1971-1990,meublé,20.2,24.24,14.14,2020,PARIS,7512080,48.854760283,2.40743032824
5,35,Faubourg-Montmartre,3,1946-1970,non meublé,20.3,24.36,14.21,2020,PARIS,7510935,48.8739346918,2.34325257947
1,26,Invalides,1,Apres 1990,meublé,39.6,47.52,27.72,2020,PARIS,7510726,48.8585149661,2.31644474034
4,20,Sorbonne,1,1946-1970,non meublé,29.8,35.76,20.86,2020,PARIS,7510520,48.8490447659,2.34574660019
5,2,Halles,3,Apres 1990,meublé,26.7,32.04,18.69,2020,PARIS,7510102,48.8622891081,2.34489885831
13,75,Amérique,1,1946-1970,meublé,25.9,31.08,18.13,2020,PARIS,7511975,48.8816381673,2.39544016662
10,44,Sainte-Marguerite,1,1971-1990,meublé,30.1,36.12,21.07,2020,PARIS,7511144,48.852096507,2.3887648336
4,9,Arts-et-Metiers,3,Avant 1946,meublé,28.3,33.96,19.81,2020,PARIS,7510309,48.8664702895,2.35708313106
4,8,Bonne-Nouvelle,4,1946-1970,meublé,26.0,31.2,18.2,2020,PARIS,7510208,48.8671501183,2.35008019041
13,75,Amérique,3,Apres 1990,non meublé,18.0,21.6,12.6,2020,PARIS,7511975,48.8816381673,2.39544016662
11,68,Epinettes,3,1971-1990,meublé,22.3,26.76,15.61,2020,PARIS,7511768,48.8949426538,2.32111874371
11,71,Goutte-d'Or,2,1946-1970,non meublé,22.1,26.52,15.47,2020,PARIS,7511871,48.8921381876,2.3555361633
11,68,Epinettes,4,1971-1990,non meublé,20.7,24.84,14.49,2020,PARIS,7511768,48.8949426538,2.32111874371
5,53,Montparnasse,2,Apres 1990,meublé,28.3,33.96,19.81,2020,PARIS,7511453,48.837623096,2.33178382289
1,28,Gros-Caillou,4,1971-1990,non meublé,24.5,29.4,17.15,2020,PARIS,7510728,48.8582999039,2.30154155569
14,76,Combat,3,Apres 1990,non meublé,22.3,26.76,15.61,2020,PARIS,7511976,48.8786390757,2.38012728183
11,41,Folie-Méricourt,2,Avant 1946,meublé,27.3,32.76,19.11,2020,PARIS,7511141,48.8674031901,2.37296482493
5,38,Porte-Saint-Denis,4,1946-1970,non meublé,21.5,25.8,15.05,2020,PARIS,7511038,48.873617661,2.35228289495
4,6,Vivienne,3,1946-1970,meublé,24.3,29.16,17.01,2020,PARIS,7510206,48.8691001998,2.33946074375
5,33,Saint-Georges,2,Apres 1990,meublé,28.3,33.96,19.81,2020,PARIS,7510933,48.8799343388,2.33285019656
11,48,Quinze-Vingts,3,Apres 1990,non meublé,20.9,25.08,14.63,2020,PARIS,7511248,48.8469159441,2.37440162648
2,24,Saint-Germain-des-Prés,2,Apres 1990,non meublé,26.7,32.04,18.69,2020,PARIS,7510624,48.85528872,2.33365686809
6,66,Plaine de Monceaux,1,1946-1970,non meublé,27.5,33.0,19.25,2020,PARIS,7511766,48.8850436914,2.30290982465
14,76,Combat,1,Avant 1946,meublé,28.5,34.2,19.95,2020,PARIS,7511976,48.8786390757,2.38012728183
